commodity,country,hhi_u2014,mine_u2014,operator_u2014,cap_u2014
Aluminium,World,3078,,,
Aluminium,United States,7.52,"Evansville, IN (Warrick)",Alcoa Inc.,269000
Aluminium,China,2946.05,,,
Antimony,World,4967,,,
Antimony,United States,0,,,
Antimony,China,4656.2,,,
Bauxite,World,1657,,,
Bauxite,United States,0.001,,,
Bauxite,Australia,777.1,,,
Cobalt,World,3732,,,
Cobalt,United States,0.29,,,
Cobalt,"Congo, D.R.",3597.63,,,
Copper,World,1222,,,
Copper,United States,50.77,Morenci,Freeport-McMoRan Copper & Gold Inc. ,380000
Copper,Chile,885.67,,,
Gold,World,566,,,
Gold,United States,47.27,Carlin Mines Operations,Newmont Mining Corp,28200
Gold,China,212.4,,,
Iron,World,1956,,,
Iron,United States,5.13,Hibbing Taconite,Cliffs Natural Resources Inc.,8100000
Iron,Australia,971.67,,,
Lead,World,2496,,,
Lead,United States,53.43,,,
Lead,China,2170.27,,,
Molybdenum,World,2561,,,
Molybdenum,United States,522.13,,,
Molybdenum,China,1698.34,,,
Nickel,World,989,,,
Nickel,United States,1.66,,,
Nickel,Indonesia,37.78,,,
Platinum,World,5760,,,
Platinum,United States,3.73,,,
Platinum,South Africa,5609.68,,,
Silver,World,1028,,,
Silver,United States,15.5,,,
Silver,Mexico,462.57,,,
Tin,World,2456,,,
Tin,United States,0,,,
Tin,China,1773.45,,,
Uranium,World,2187,,,
Uranium,United States,4.17,,,
Uranium,Kazakhstan,1496.72,,,
Vanadium,World,3468,,,
Vanadium,United States,0,,,
Vanadium,China,2573.36,,,
Zinc,World,1674,,,
Zinc,United States,38.47,,,
Zinc,China,1275.11,,,
