"Country Name","Country Code",Time Period,"Aluminum (PALUM_USD)","Copper  (PCOPP_USD)","Iron Ore (PIORECR_USD)","Lead  (PLEAD_USD)","Metal index  (PMETA_Index)","Nickel  (PNICK_USD)","Tin  (PTIN_USD)","Uranium  (PURAN_USD)","Zinc  (PZINC_USD)",
"World","001",1980M1,"2054.86010742188","2592.63342275848","12.15","1111.12841796875","84.0490040435678","6584.80078125","16973.5879043457","40","773.821533203125",
"World","001",1980M2,"2131.00854492188","2916.71199088135","12.15","1166.24389648438","88.34523245295","6978.927734375","17090.2131635254","38","868.620361328125",
"World","001",1980M3,"1978.37890625","2303.8279","12.15","1117.74243164063","79.7263120909169","6733.787109375","17460.5904","35","740.75244140625",
"World","001",1980M4,"1932.45556640625","2074.54755455933","12.15","970.03271484375","75.7896575197835","6233.369140625","17041.7126","32","707.68310546875",
"World","001",1980M5,"1775.8037109375","2076.75230911865","12.15","793.6630859375","72.2667483584157","6000.76953125","17180.6047364746","32","701.069091796875",
"World","001",1980M6,"1668.96044921875","2006.2042","12.15","736.343017578125","69.6077343196229","6294.833984375","17211.4672635254","31.5","676.818359375",
"World","001",1980M7,"1758.07495117188","2175.96020911865","12.15","809.095458984375","73.0554399445877","6622.166015625","17090.2131635254","31.5","712.09228515625",
"World","001",1980M8,"1783.62719726563","2081.16114544067","12.15","850.9833984375","72.8857593626663","6584.505859375","17008.6433","30","767.207763671875",
"World","001",1980M9,"1655.06567382813","2059.11494544067","12.15","881.847900390625","70.3062123746067","6655.357421875","17295.2439","28.5","795.867919921875",
"World","001",1980M10,"1626.15209960938","2045.88709088135","12.15","870.824951171875","69.4842872070072","6691.947265625","16682.3584635254","28","804.686279296875",
"World","001",1980M11,"1503.91015625","2010.61370911865","12.15","813.5048828125","66.3534646563319","6452.666015625","15599.8932729492","28","800.277099609375",
"World","001",1980M12,"1430.65673828125","1878.33650911865","12.15","742.95703125","63.3659416639662","6390.912109375","14698.2004635254","27","782.64013671875",
"World","001",1981M1,"1430.82958984375","1876.13175455933","12.15","703.273681640625","62.8447866203785","6403.7734375","14360.8925270508","25","776.026123046875",
"World","001",1981M2,"1452.38110351563","1803.37889088135","12.15","690.046142578125","62.3497532587845","6370.748046875","13679.6671","25","731.933837890625",
"World","001",1981M3,"1442.95190429688","1816.60674544067","12.15","727.524658203125","62.3821516882946","6292.43359375","13624.5516","25","756.1845703125",
"World","001",1981M4,"1369.23461914063","1823.22100911865","12.15","758.38916015625","61.3250281658416","6307.060546875","13344.5659364746","25","824.52783203125",
"World","001",1981M5,"1296.99584960938","1746.05930911865","12.15","694.455322265625","59.2499062965604","6352.15625","12683.1799364746","25","850.9833984375",
"World","001",1981M6,"1232.40673828125","1699.76215455933","12.15","712.09228515625","57.3935312450936","6169.462890625","12583.9720364746","24.25","839.960205078125",
"World","001",1981M7,"1175.31127929688","1682.12479088135","12.15","782.64013671875","56.458857515431","6150.337890625","13419.5208635254","23.5","864.2109375",
"World","001",1981M8,"1230.82885742188","1787.94695455933","12.15","822.3232421875","58.874894190462","5999.1171875","14477.7384635254","23.5","954.600341796875",
"World","001",1981M9,"1168.9111328125","1706.37574544067","12.15","760.593994140625","56.700063900645","5579.064453125","14969.3698","23.5","936.96337890625",
"World","001",1981M10,"1140.181640625","1664.4881","12.15","716.50146484375","55.3309399096662","5216.7109375","15101.647","23.5","890.66650390625",
"World","001",1981M11,"1081.84643554688","1651.26024544067","12.15","665.795166015625","54.0129823357043","5100.24609375","15826.9648270508","23.5","875.234130859375",
"World","001",1981M12,"1130.88427734375","1655.66975455933","12.15","676.818359375","55.1970254133562","5496.025390625","15954.8338635254","23.5","848.77880859375",
"World","001",1982M1,"1113.25854492188","1613.78210911865","14.05","648.158203125","55.2591751559872","5628.904296875","16124.5885270508","23","820.11865234375",
"World","001",1982M2,"1087.70629882813","1596.14474544067","14.05","615.0888671875","54.6101575179788","5716.759765625","15930.5862729492","23","824.52783203125",
"World","001",1982M3,"1029.23657226563","1512.36945455933","14.05","610.6796875","51.9562396165992","5653.357421875","12813.2503635254","22.5","791.45849609375",
"World","001",1982M4,"996.20751953125","1521.1878","14.05","575.40576171875","50.5856984481846","5394.0546875","12628.0644364746","20.75","740.75244140625",
"World","001",1982M5,"973.294189453125","1530.00614544067","14.05","575.40576171875","50.1022623380861","5211.837890625","12736.0886635254","20.5","749.57080078125",
"World","001",1982M6,"918.849365234375","1309.54431363983","14.05","522.494873046875","46.5344703066267","5186.697265625","11098.0569454407","19.25","692.250732421875",
"World","001",1982M7,"957.847900390625","1439.61659088135","14.05","553.359619140625","48.2197004587016","5068.580078125","11316.3155364746","18.25","723.115478515625",
"World","001",1982M8,"958.864013671875","1450.63969088135","14.05","522.494873046875","48.1075570319885","4953.02734375","12187.1404364746","17","714.296875",
"World","001",1982M9,"959.531982421875","1424.18465455933","14.05","515.881103515625","47.7204634251085","4310.296875","12678.7717729492","17","749.57080078125",
"World","001",1982M10,"951.484130859375","1463.86754544067","14.05","498.244110107422","47.5834457918367","3916.5078125","12420.8269270508","17.5","751.775390625",
"World","001",1982M11,"965.14697265625","1444.0261","14.05","462.97021484375","47.3991025311115","3433.65747070313","11982.1097","19.75","709.8876953125",
"World","001",1982M12,"987.387451171875","1474.89064544067","14.05","449.742492675781","48.0478564645903","3576.26953125","12041.6333635254","20.25","670.20458984375",
"World","001",1983M1,"1076.53076171875","1574.09854544067","12.54","476.197906494141","50.3549958857265","3796.9599609375","12079.1108270508","21.5","698.864501953125",
"World","001",1983M2,"1230.45581054688","1649.05549088135","12.54","456.356353759766","54.2731753471865","4228.197265625","13040.3273","21.75","681.2275390625",
"World","001",1983M3,"1301.72924804688","1598.3495","12.54","445.333251953125","55.8272239393016","4831.7734375","13459.2051","22.25","679.02294921875",
"World","001",1983M4,"1363.56713867188","1675.5112","12.54","456.356353759766","57.8973007561971","4817.78515625","13787.6913270508","23.25","696.659912109375",
"World","001",1983M5,"1453.43408203125","1765.90075455933","12.54","432.105529785156","60.5284130889203","5031.533203125","13523.1369270508","23.5","736.343017578125",
"World","001",1983M6,"1465.57836914063","1701.96690911865","12.54","407.854705810547","60.0317340701071","4883.158203125","13351.1808729492","23.5","718.7060546875",
"World","001",1983M7,"1520.2099609375","1704.17099088135","12.54","403.445465087891","61.1746115716447","4804.037109375","13190.2425364746","24","740.75244140625",
"World","001",1983M8,"1603.66748046875","1640.23714544067","12.54","396.831604003906","62.5411025780342","4852.7578125","12811.0489729492","24","809.095458984375",
"World","001",1983M9,"1613.72875976563","1560.87069088135","12.54","403.445465087891","62.3209035757259","4910.5234375","12751.5199270508","24","837.755615234375",
"World","001",1983M10,"1566.25805664063","1435.20775455933","12.54","418.877807617188","60.3668296850052","4674.150390625","12747.1117635254","23.5","857.59716796875",
"World","001",1983M11,"1516.72778320313","1388.9106","12.54","405.650085449219","58.837816873746","4585.166015625","12769.1579635254","22.5","859.8017578125",
"World","001",1983M12,"1549.33911132813","1415.36630911865","12.54","401.240844726563","59.5136672634343","4657","12341.4638364746","22","857.59716796875",
"World","001",1984M1,"1548.90625","1375.68291363983","11.31","396.831604003906","58.7936514922707","4670.48046875","12112.1801270508","20.5","956.80517578125",
"World","001",1984M2,"1491.16162109375","1428.59349088135","11.31","403.445465087891","57.777245732091","4639.912109375","12292.9632729492","17.5","998.69287109375",
"World","001",1984M3,"1455.76293945313","1501.34635455933","11.31","458.560974121094","57.9592494280561","4780.826171875","12403.1942729492","17","1040.58056640625",
"World","001",1984M4,"1370.35034179688","1532.2109","11.31","480.607147216797","56.6578353675137","4911.40625","12440.6717364746","17.75","1003.10205078125",
"World","001",1984M5,"1289.13500976563","1419.77514544067","11.31","451.947113037109","54.1729975833313","4811.423828125","12577.3571","17.75","1000.8974609375",
"World","001",1984M6,"1275.02905273438","1364.65981363983","11.31","482.811767578125","53.26389507043","4773.232421875","12658.9269635254","17.5","941.372802734375",
"World","001",1984M7,"1162.80615234375","1331.59051363983","11.31","493.834869384766","50.3845154305534","4640.1796875","12442.8731270508","17.5","853.18798828125",
"World","001",1984M8,"1136.00903320313","1338.20435681992","11.31","467.379425048828","49.8150177139051","4736.07421875","12299.5728270508","17.5","833.346435546875",
"World","001",1984M9,"1012.169921875","1294.11195681992","11.31","401.240844726563","47.0834697736602","4705.63671875","12087.9325364746","17.5","873.029541015625",
"World","001",1984M10,"1027.64794921875","1272.06575681992","11.31","412.263946533203","46.8294038369385","4750.294921875","11739.6015","16","844.369384765625",
"World","001",1984M11,"1154.66040039063","1344.8182","11.31","440.042144775391","49.8745867651861","4748.400390625","11988.7246364746","15.5","857.59716796875",
"World","001",1984M12,"1095.69604492188","1320.56741363983","11.31","414.468566894531","48.5020114100248","4858.982421875","11719.7620729492","15.25","859.8017578125",
"World","001",1985M1,"1075.8544921875","1358.04588636017","11.49","418.877807617188","48.3963672456785","4947.16796875","11073.4002945129","15","866.415771484375",
"World","001",1985M2,"1097.90087890625","1388.9106","11.49","368.171539306641","49.0647773133828","5050.78515625","10946.00019729","15","886.25732421875",
"World","001",1985M3,"1095.25512695313","1389.35153409195","11.49","351.636901855469","49.2982832362356","5211.72265625","11210.6010202576","15","921.53125",
"World","001",1985M4,"1108.923828125","1501.34635455933","11.49","390.217742919922","50.6841081334784","5489.50390625","11806.4007862915","14.25","930.349609375",
"World","001",1985M5,"1104.5146484375","1530.00614544067","11.49","374.785400390625","50.7860743207755","5604.14453125","11909.8002093018","15","879.643310546875",
"World","001",1985M6,"1031.76220703125","1433.003","11.49","388.013122558594","48.4792122992933","5553.4375","12385.799788855","15","809.095458984375",
"World","001",1985M7,"1011.92065429688","1474.89064544067","11.49","403.445465087891","47.4868844333104","5090.466796875","12755.8002592163","11.85","767.207763671875",
"World","001",1985M8,"1018.53442382813","1419.77514544067","11.49","412.263946533203","47.5950729608497","4907.484375","12647.2001182495","15.75","734.138427734375",
"World","001",1985M9,"985.465087890625","1366.8644","11.49","401.240844726563","45.3876786412611","4570.177734375","12325.2009963135","11.7","690.046142578125",
"World","001",1985M10,"970.03271484375","1384.50134318008","11.49","392.42236328125","45.4620062929568","4239.484375","12391.1000807129","16","632.725830078125",
"World","001",1985M11,"950.191162109375","1369.06898636017","11.49","394.626983642578","44.1658924977541","4034.45458984375","9903.15330911865","16","597.451904296875",
"World","001",1985M12,"1038.3759765625","1391.11518636017","11.49","392.42236328125","45.540804173947","4089.57006835938","9114.00053773193","11.7","685.63671875",
"World","001",1986M1,"1119.94702148438","1417.57039088135","11.36","368.171539306641","47.6083100984259","4034.45458984375","7910.00069096069","17","643.7490234375",
"World","001",1986M2,"1115.53784179688","1404.34295681992","11.36","365.966918945313","47.2577931211646","3988.15747070313","7922.90022076416","17.0833333333333","608.47509765625",
"World","001",1986M3,"1168.44848632813","1444.0261","11.36","365.966918945313","48.6249885481598","4135.8671875","7313.6001175354","17.1666666666667","626.112060546875",
"World","001",1986M4,"1164.03930664063","1433.003","11.36","368.171539306641","48.2464205559558","4085.16088867188","5686.10035791016","17.25","659.181396484375",
"World","001",1986M5,"1164.03930664063","1417.57039088135","11.36","376.990020751953","48.2720492656695","4043.27319335938","5474.20003143616","17.1666666666667","707.68310546875",
"World","001",1986M6,"1183.880859375","1413.16155455933","11.36","418.877807617188","49.1181147969089","4087.36547851563","5378.30060886841","17.0833333333333","804.686279296875",
"World","001",1986M7,"1122.15161132813","1344.8182","11.36","379.194641113281","47.2287801991246","3910.99584960938","5386.59989170837","17","806.890869140625",
"World","001",1986M8,"1128.76538085938","1302.93038636017","11.36","392.42236328125","47.0487633277041","3807.37866210938","5404.30016187134","17","815.70947265625",
"World","001",1986M9,"1205.92724609375","1309.54431363983","11.36","407.854705810547","48.7832346913249","3723.60327148438","5397.20013902588","17","870.824951171875",
"World","001",1986M10,"1161.83471679688","1316.15815681992","11.36","434.310150146484","48.0831593754822","3644.23681640625","5542.80073070679","17","886.25732421875",
"World","001",1986M11,"1130.96997070313","1302.93038636017","11.36","473.993286132813","47.2698633806019","3642.0322265625","6092.29997819824","16.75","820.11865234375",
"World","001",1986M12,"1130.96997070313","1331.59051363983","11.36","515.881103515625","47.4716297493223","3562.666015625","6428.10017742309","16.65","798.072509765625",
"World","001",1987M1,"1170.6533203125","1344.8182","10.94","462.97021484375","47.8939110381669","3525.1875","6712.70055303955","16.65","758.38916015625",
"World","001",1987M2,"1283.0888671875","1380.09208636017","10.94","460.765594482422","50.3829981022647","3716.9892578125","6688.40048432617","16.825","740.75244140625",
"World","001",1987M3,"1369.06909179688","1463.86754544067","10.94","487.221008300781","52.7142510119066","3772.10473632813","6631.50072766113","17","731.933837890625",
"World","001",1987M4,"1399.93359375","1483.70899088135","10.94","555.564208984375","53.8185252384474","3897.76806640625","6699.80035043945","17","760.593994140625",
"World","001",1987M5,"1410.95678710938","1518.98304544067","10.94","692.250732421875","55.287479758648","4435.6953125","6747.40003927612","17","837.755615234375",
"World","001",1987M6,"1472.68627929688","1571.89379088135","10.94","628.316650390625","56.8422265947404","4435.6953125","6610.39980692749","16.9","877.438720703125",
"World","001",1987M7,"1653.46508789063","1693.14789088135","10.94","663.590576171875","61.2097846377106","4753.16015625","6404.90013120117","16.75","828.93701171875",
"World","001",1987M8,"1809.99291992188","1754.87765455933","10.94","659.181396484375","64.9936836388951","5306.51953125","6556.10040924072","17","802.481689453125",
"World","001",1987M9,"1746.05908203125","1809.99315455933","10.94","645.95361328125","63.9347066703767","5332.9765625","6706.30023869019","16.65","756.1845703125",
"World","001",1987M10,"1962.11181640625","1966.52130911865","10.94","599.65673828125","69.4317321346478","5692.328125","6763.80012994995","16.65","769.412353515625",
"World","001",1987M11,"1679.92041015625","2519.88039088135","10.94","641.54443359375","68.6790690932525","5937.041015625","6927.30047599487","16.75","846.573974609375",
"World","001",1987M12,"1823.220703125","2866.006","10.94","659.181396484375","75.2198050137077","7661.0546875","6829.40049264526","16.65","866.415771484375",
"World","001",1988M1,"2001.794921875","2660.97660911865","10.51","665.795166015625","77.2714213747885","8073.318359375","6808.10042410889","16.45","877.438720703125",
"World","001",1988M2,"2138.4814453125","2328.07902275848","10.51","654.772216796875","77.8020163002564","8666.361328125","6690.10064141235","16.3","875.234130859375",
"World","001",1988M3,"2526.49462890625","2358.9434","10.51","648.158203125","90.5831320826795","15496.2734375","6772.90037717895","15.9","981.055908203125",
"World","001",1988M4,"2508.85766601563","2283.98662275848","10.51","648.158203125","91.8142075850052","18011.74609375","6752.60075723267","15.9","1069.24072265625",
"World","001",1988M5,"2987.26000976563","2442.71869088135","10.51","667.999755859375","101.86611157024","17024.076171875","6777.60053444214","15.4","1175.0625",
"World","001",1988M6,"3578.09814453125","2539.72250911865","10.51","676.818359375","113.728793098488","15588.8671875","7035.80037026367","15.1","1364.65966796875",
"World","001",1988M7,"2581.61010742188","2213.43817724152","10.51","619.498291015625","90.9250722654284","14592.37890625","7148.80060119629","15.1","1236.79174804688",
"World","001",1988M8,"2700.65942382813","2200.21049088135","10.51","601.861328125","93.0693473077664","14186.73046875","7322.7003647644","14.75","1307.33959960938",
"World","001",1988M9,"2387.603515625","2433.90017724152","10.51","608.47509765625","87.1911815059986","11878.4921875","7408.50010070801","14.15","1329.3857421875",
"World","001",1988M10,"2308.23706054688","2936.55410911865","10.51","654.772216796875","89.8101403590263","11556.6171875","7252.7005848999","13.2","1518.98315429688",
"World","001",1988M11,"2380.98950195313","3302.52049088135","10.51","690.046142578125","95.1967249528679","13342.359375","7312.40052114258","12.3","1556.46166992188",
"World","001",1988M12,"2458.1513671875","3496.52745455933","10.51","729.729248046875","100.754260726341","16920.458984375","7337.40029835205","12","1591.73559570313",
"World","001",1989M1,"2398.62646484375","3392.91004544067","12.03","674.61376953125","100.522662419456","17725.14453125","7409.60079599609","11.6","1732.83129882813",
"World","001",1989M2,"2175.59692382813","3095.28634544067","12.03","620.960693359375","95.4549627640591","18582.474609375","7873.70062153931","11.35","1929.49731445313",
"World","001",1989M3,"2074.54736328125","3262.8376","12.03","588.633544921875","93.9658539180204","17156.353515625","8760.50040474243","11.2","1959.9072265625",
"World","001",1989M4,"2125.80004882813","3117.33254544067","12.03","607.5","91.4518291246892","15261.5","10195.9005791382","10.2","1654.39990234375",
"World","001",1989M5,"2259","2738.13830911865","12.03","643","89.8878108648484","13454","10143.7003069397","9.85","1627",
"World","001",1989M6,"1914","2544.13117724152","12.03","665","80.5698553052007","12143","9935.50069833374","9.8","1537",
"World","001",1989M7,"1756","2503.78709547119","12.03","691","77.653331167409","12275","9605.20061156616","9.8","1614",
"World","001",1989M8,"1798","2760.18450911865","12.03","701","81.0396073930035","12910","8715.6006487854","9.6","1726",
"World","001",1989M9,"1718","2883.64269088135","12.03","727","78.7711941920148","11222","8269.69997210693","9.6","1626",
"World","001",1989M10,"1820","2859.39240911865","12.03","751","79.7608508936316","10425","7922.40033286743","9.4","1583",
"World","001",1989M11,"1736","2590.4285","12.03","692","74.7629120403507","9793","6837.30047068481","9.3","1435",
"World","001",1989M12,"1633","2418.46840911865","12.03","710","70.8898937966476","8809","6744.09997180176","9","1450",
