commodity,msha_name,series,year,quarter,units,price_last
aluminum,Aluminum Ore-Bauxite,MBALAL01,1987,1,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1987,2,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1987,3,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1987,4,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1988,1,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1988,2,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1988,3,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1988,4,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1989,1,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1989,2,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1989,3,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1989,4,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1990,1,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1990,2,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1990,3,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1990,4,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1991,1,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1991,2,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1991,3,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1991,4,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1992,1,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1992,2,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1992,3,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1992,4,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1993,1,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1993,2,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1993,3,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1993,4,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1994,1,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1994,2,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1994,3,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1994,4,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1995,1,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1995,2,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1995,3,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1995,4,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1996,1,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1996,2,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1996,3,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1996,4,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1997,1,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1997,2,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1997,3,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1997,4,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1998,1,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1998,2,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1998,3,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1998,4,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1999,1,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1999,2,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1999,3,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,1999,4,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,2000,1,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,2000,2,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,2000,3,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,2000,4,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,2001,1,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,2001,2,$/lb,
aluminum,Aluminum Ore-Bauxite,MBALAL01,2001,3,$/lb,
