commodity,msha_name,series,year,quarter,units,price
silver,Silver Ore,SILVERH,1983,1,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1983,2,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1983,3,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1983,4,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1984,1,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1984,2,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1984,3,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1984,4,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1985,1,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1985,2,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1985,3,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1985,4,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1986,1,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1986,2,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1986,3,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1986,4,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1987,1,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1987,2,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1987,3,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1987,4,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1988,1,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1988,2,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1988,3,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1988,4,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1989,1,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1989,2,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1989,3,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1989,4,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1990,1,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1990,2,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1990,3,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1990,4,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1991,1,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1991,2,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1991,3,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1991,4,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1992,1,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1992,2,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1992,3,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1992,4,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1993,1,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1993,2,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1993,3,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1993,4,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1994,1,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1994,2,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1994,3,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1994,4,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1995,1,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1995,2,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1995,3,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1995,4,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1996,1,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1996,2,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1996,3,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1996,4,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1997,1,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1997,2,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1997,3,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1997,4,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1998,1,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1998,2,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1998,3,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1998,4,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1999,1,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1999,2,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1999,3,$cents/troy_ounce,
silver,Silver Ore,SILVERH,1999,4,$cents/troy_ounce,
