commodity,msha_name,series,year,quarter,units,price
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1983,1,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1983,2,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1983,3,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1983,4,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1984,1,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1984,2,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1984,3,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1984,4,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1985,1,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1985,2,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1985,3,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1985,4,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1986,1,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1986,2,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1986,3,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1986,4,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1987,1,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1987,2,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1987,3,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1987,4,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1988,1,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1988,2,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1988,3,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1988,4,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1989,1,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1989,2,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1989,3,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1989,4,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1990,1,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1990,2,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1990,3,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1990,4,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1991,1,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1991,2,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1991,3,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1991,4,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1992,1,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1992,2,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1992,3,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1992,4,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1993,1,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1993,2,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1993,3,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1993,4,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1994,1,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1994,2,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1994,3,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1994,4,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1995,1,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1995,2,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1995,3,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1995,4,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1996,1,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1996,2,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1996,3,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1996,4,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1997,1,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1997,2,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1997,3,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1997,4,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1998,1,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1998,2,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1998,3,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1998,4,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1999,1,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1999,2,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1999,3,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),1999,4,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2000,1,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2000,2,U$/MT,
zinc,Zinc,LME-SHG Zinc 99.995% Cash S74109(P),2000,3,U$/MT,
