msha_commodity_name,cty_rank,r_cty,unit,u2014,r2014,w2014,shr_u2014,shr_r2014,cum_u,cum_r,cum_w,shr_cum_u,shr_cum_r,hhi_u2014,hhi_r2014,hhi_w2014,cap_u2014,shr_cap_u2014
"Commodity","Rank of United States by production in 2014 (US)","Country with highest production in 2014 (Rank 1)","Unit of production","Mine Production in 2014 (US)","Mine Production in 2014 (Rank 1)","Mine Production in 2014 (World)","u2014 / w2014 * 100","r2014 / w2014 * 100","Cumulative production from 2011 to 2015 (US)","Cumulative production from 2011 to 2015 (Rank 1)","Cumulative production from 2011 to 2015 (World)","cum_u / cum_w (%)","cum_r / cum_w (%)","Herfindahl-Hirschman Index (HHI) in 2014 (US)","Herfindahl-Hirschman Index (HHI) in 2014 (Rank 1)","Herfindahl-Hirschman Index (HHI) in 2014 (World)","Production capacity of leading mine in US","cap_u2014 / w2014 * 100"
"Alumina","7","China","metr. t","1709668","28857900","54747920","3.12","52.71","9298486","123700400","254208704","3.66","48.66","7.52","2946.05","3078","269000","0.49"
"Aluminum Ore-Bauxite","26","Australia","metr. t","128000","78632392","260861424","0.05","30.14","547252","387173088","1358631808","0.04","28.50",".001","777.1","1657",".","."
"Antimony Ore",".","China","metr. t",".","121400","162451",".","74.73",".","613237","821108",".","74.68","0","4656.2","4967",".","."
"Cobalt Ore","22","Congo, D.R.","metr. t","120","76475","131245","0.09","58.27","880","423376","685857","0.13","61.73",".29","3597.63","3732",".","."
"Copper Ore NEC","5","Chile","metr. t","1384700","5749600","18650468","7.42","30.83","6322600","27986300","89353408","7.08","31.32","50.77","885.67","1222","380000","2.04"
"Gold Ore","4","China","kg","210076","451799","3020801","6.95","14.96","1119162","2094032","14388136","7.78","14.55","47.27","212.4","566","28200","0.93"
"Iron Ore","9","Australia","metr. t","35343000","423668992","1536798336","2.30","27.57","166572000","1897722880","7259996160","2.29","26.14","5.13","971.67","1956","8100000","0.53"
"Lead-Zinc Ore","4","China","metr. t","379000","2608600","5355888","7.08","48.71","1773000","12615600","25521544","6.95","49.43","53.43","2170.27","2496",".","."
"Molybdenum Ore","3","China","metr. t","68200","123000","297039","22.96","41.41","300700","581956","1376293","21.85","42.28","522.13","1698.34","2561",".","."
"Nickel Ore","26","Indonesia","metr. t","4300","215000","2158810","0.20","9.96","31500","2391600","11276585","0.28","21.21","1.66","37.78","989",".","."
"Platinum Group Ore","7","South Africa","kg","3655","110324","159495","2.29","69.17","18409","662380","908491","2.03","72.91","3.73","5609.68","5760",".","."
"Silver Ore","10","Mexico","kg","1183900","5765662","27094362","4.37","21.28","5488500","27683720","129653536","4.23","21.35","15.5","462.57","1028",".","."
"Tin Ore",".","China","metr. t",".","157980","342243",".","46.16",".","685280","1633735",".","41.95","0","1773.45","2456",".","."
"Uranium Ore","9","Kazakhstan","metr. t","2263","26920","68314","3.31","39.41","9602","129599","344992","2.78","37.57","4.17","1496.72","2187",".","."
"Uranium-Vanadium Ore","7","China","metr. t","0","44800","83539","0.00","53.63","1287","200600","390022","0.33","51.43","0","2573.36","3468",".","."
"Zinc","5","China","metr. t","831500","5118400","13633437","6.10","37.54","3947900","23963200","66424160","5.94","36.08","38.47","1275.11","1674",".","."
